Chaz Forsyth Rifle Range Open Dates 2026,,,,,
Dates,Open/Closed,Reason,Dates,Open/Closed,Reason
3-Jan-2026,Closed,New Year break,18-Jul-2026,closed,Winter + Maintenance
10-Jan-2026,Closed,New Year break,25-Jul-2026,closed,Winter + Maintenance
17-Jan-2026,Open, ,1-Aug-2026,Open,
24-Jan-2026,Open,,8-Aug-2026,Open,
31-Jan-2026,Open,,15-Aug-2026,Open,
7-Feb-2026,closed,Waitangi weekend,22-Aug-2026,Open,
14-Feb-2026,Open,,29-Aug-2026,Open,
21-Feb-2026,Open,,5-Sep-2026,Open,
28-Feb-2026,Open,,12-Sep-2026,Open,
7-Mar-2026,Open,,19-Sep-2026,Open,
14-Mar-2026,Open, ,26-Sep-2026,Open,
21-Mar-2026,closed,Otago Anniversary,3-Oct-2026,Open,
28-Mar-2026,Open, ,10-Oct-2026,Open,
4-Apr-2026,closed,Easter,17-Oct-2026,Open,
11-Apr-2026,Open,,24-Oct-2026,closed,Labour Day
18-Apr-2026,open,,31-Oct-2026,Open,
25-Apr-2026,closed,ANZAC weekend,7-Nov-2026,Open,
2-May-2026,Open,,14-Nov-2026,Open,
9-May-2026,Open,,21-Nov-2026,Open,
16-May-2026,Open,,28-Nov-2026,Open,
23-May-2026,Open,,5-Dec-2026,Open,
30-May-2026,closed,Kings Birthday weekend,12-Dec-2026,Open,
6-Jun-2026,closed,Winter + Maintenance,19-Dec-2026,Closed,Christmas
13-Jun-2026,closed,Winter + Maintenance,26-Dec-2026,Closed,Christmas
20-Jun-2026,closed,Winter + Maintenance,2-Jan-2027,Closed,Christmas
27-Jun-2026,closed,Winter + Maintenance,9-Jan-2027,Closed,Christmas
4-Jul-2026,closed,Winter + Maintenance,16-Jan-2027,Open,Range Opens 2027
11-Jul-2026,closed,Winter + Maintenance,23-Jan-2027,Open,